0,1,2,3,4,paths
0,0,0,0,0,misc/100/12/12_2000_4900.tif
1,0,0,0,1,Shifting_cultivation/100/9/9_1200_1900.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_7400_6300.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_3500_4000.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_3900_4400.tif
0,1,0,0,0,ISL/100/32/32_1300_900.tif
0,0,0,0,1,Shifting_cultivation/100/92/92_7000_3600.tif
0,0,0,0,0,misc/100/81/81_10800_6200.tif
0,0,1,0,0,Mining/100/86/86_1500_1800.tif
0,0,0,0,0,misc/100/19/19_1800_3600.tif
0,0,0,0,1,Shifting_cultivation/100/19/19_3000_4100.tif
0,0,0,0,1,Shifting_cultivation/100/101/101_2300_1800.tif
0,0,0,0,1,Shifting_cultivation/100/30/30_600_600.tif
0,0,0,1,1,Shifting_cultivation/100/92/92_5500_2200.tif
0,0,0,0,1,Shifting_cultivation/100/9/9_600_1700.tif
1,0,0,0,0,Industrial_agriculture/100/58/58_1500_1700.tif
1,0,0,0,0,Industrial_agriculture/100/10/10_3400_3400.tif
0,0,0,0,0,misc/100/22/22_0_2300.tif
0,0,0,0,0,misc/100/81/81_12000_4800.tif
0,0,0,0,0,misc/100/60/60_3700_4100.tif
0,0,0,0,0,misc/100/81/81_2000_3800.tif
0,1,0,0,0,ISL/100/15/15_1200_400.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_8500_3400.tif
0,0,0,0,0,misc/100/92/92_100_3700.tif
0,0,0,0,0,misc/100/60/60_5800_8600.tif
0,0,0,1,0,Roads/100/19/19_2800_3000.tif
0,1,0,0,0,ISL/100/32/32_2000_2000.tif
1,0,0,0,0,Industrial_agriculture/100/10/10_1900_1900.tif
0,1,0,0,0,ISL/100/74/74_3200_4400.tif
0,0,0,0,1,Shifting_cultivation/100/81/81_6800_7000.tif
0,0,0,0,0,misc/100/81/81_0_1900.tif
0,1,0,0,0,ISL/100/89/89_2200_2200.tif
0,1,0,0,0,ISL/100/74/74_2700_5000.tif
0,0,0,0,0,misc/100/48/48_2500_2100.tif
0,0,0,0,0,misc/100/44/44_2900_3800.tif
