index,0,1,2,3,4,5,6,7,8,9,paths
0,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_1800.tif
1,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_1900.tif
2,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_2000.tif
3,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_2100.tif
4,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_500.tif
5,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_600.tif
6,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_700.tif
7,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_800.tif
8,0,0,0,0,1,0,0,0,0,0,train/1/1_1200_900.tif
9,0,1,0,0,1,0,0,0,0,0,train/1/1_1300_1000.tif
10,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_1100.tif
11,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_1200.tif
12,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_1300.tif
13,0,0,0,0,1,0,1,0,0,0,train/1/1_1300_1400.tif
14,0,0,0,0,0,0,1,0,0,0,train/1/1_1300_1500.tif
15,0,1,0,0,0,0,0,0,0,0,train/1/1_1300_1600.tif
16,0,1,0,0,0,0,0,0,0,0,train/1/1_1300_1700.tif
17,0,1,0,0,1,0,0,0,0,0,train/1/1_1300_1800.tif
18,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_1900.tif
19,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_2000.tif
20,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_600.tif
21,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_700.tif
22,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_800.tif
23,0,0,0,0,1,0,0,0,0,0,train/1/1_1300_900.tif
24,0,1,0,0,1,0,0,0,0,0,train/1/1_1400_1000.tif
25,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_1100.tif
26,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_1200.tif
27,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_1300.tif
28,0,0,0,0,1,0,1,0,0,0,train/1/1_1400_1400.tif
29,0,1,0,0,0,0,1,0,0,0,train/1/1_1400_1500.tif
30,0,1,0,0,0,0,0,0,0,0,train/1/1_1400_1600.tif
31,0,1,0,0,0,0,0,0,0,0,train/1/1_1400_1700.tif
32,0,1,0,0,0,0,0,0,0,0,train/1/1_1400_1800.tif
33,0,1,0,0,1,0,0,0,0,0,train/1/1_1400_1900.tif
34,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_2000.tif
35,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_600.tif
36,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_700.tif
37,0,0,0,0,1,0,0,0,0,0,train/1/1_1400_800.tif
38,0,1,0,0,1,0,0,0,0,0,train/1/1_1400_900.tif
39,0,0,0,0,1,0,0,0,0,0,train/1/1_1500_1000.tif
40,0,0,0,0,1,0,0,0,0,0,train/1/1_1500_1100.tif
41,0,0,0,0,1,0,0,0,0,0,train/1/1_1500_1200.tif
42,0,0,0,0,1,0,0,0,0,0,train/1/1_1500_1300.tif
43,0,0,0,0,1,0,1,0,0,0,train/1/1_1500_1400.tif
44,0,1,0,0,0,0,0,0,0,0,train/1/1_1500_1500.tif
45,0,1,0,0,0,0,0,0,0,0,train/1/1_1500_1600.tif
46,0,1,0,0,0,0,0,0,0,0,train/1/1_1500_1700.tif
47,0,1,0,0,0,0,0,0,0,0,train/1/1_1500_1800.tif
48,0,0,0,0,1,0,0,0,0,0,train/1/1_1500_600.tif
49,0,0,0,0,1,0,0,0,0,0,train/1/1_1500_700.tif
50,0,1,0,0,1,0,0,0,0,0,train/1/1_1500_800.tif
51,0,1,0,0,1,0,0,0,0,0,train/1/1_1500_900.tif
52,0,0,0,0,1,0,0,0,0,0,train/1/1_1600_1000.tif
53,0,0,0,0,1,0,0,0,0,0,train/1/1_1600_1100.tif
54,0,0,0,0,1,0,0,0,0,0,train/1/1_1600_1200.tif
55,0,0,0,0,1,0,0,0,0,0,train/1/1_1600_1300.tif
56,0,0,0,0,1,0,1,0,0,0,train/1/1_1600_1400.tif
57,0,1,0,0,0,0,0,0,0,0,train/1/1_1600_1500.tif
58,0,1,0,0,0,0,0,0,0,0,train/1/1_1600_1600.tif
59,0,0,0,0,1,0,0,0,0,0,train/1/1_1600_600.tif
60,0,0,0,0,1,0,0,0,0,0,train/1/1_1600_700.tif
61,0,1,0,0,1,0,0,0,0,0,train/1/1_1600_800.tif
62,0,1,0,0,1,0,0,0,0,0,train/1/1_1600_900.tif
63,0,0,0,0,1,0,0,0,0,0,train/1/1_1700_1000.tif
64,0,0,0,0,1,0,0,0,0,0,train/1/1_1700_1100.tif
65,0,0,0,0,1,0,0,0,0,0,train/1/1_1700_1200.tif
66,0,0,0,0,1,0,0,0,0,0,train/1/1_1700_1300.tif
67,0,0,0,0,1,0,1,0,0,0,train/1/1_1700_1400.tif
68,0,1,0,0,0,0,1,0,0,0,train/1/1_1700_1500.tif
69,0,0,0,0,1,0,0,0,0,0,train/1/1_1700_600.tif
70,0,1,0,0,1,0,0,0,0,0,train/1/1_1700_700.tif
71,0,1,0,0,1,0,0,0,0,0,train/1/1_1700_800.tif
72,0,0,0,0,1,0,0,0,0,0,train/1/1_1700_900.tif
73,0,1,0,0,0,0,0,0,0,0,train/1/1_200_1000.tif
74,0,1,0,0,0,0,0,0,0,0,train/1/1_200_900.tif
75,0,1,0,0,0,0,0,0,0,0,train/1/1_300_1000.tif
76,0,1,0,0,0,0,0,0,0,0,train/1/1_300_1100.tif
77,0,0,0,0,1,0,0,0,0,0,train/1/1_300_1300.tif
78,0,0,0,0,1,0,0,0,0,0,train/1/1_300_1400.tif
79,0,0,0,0,0,1,0,0,0,0,train/1/1_300_600.tif
80,0,1,0,0,0,0,0,0,0,0,train/1/1_300_700.tif
81,0,1,0,0,0,0,0,0,0,0,train/1/1_300_800.tif
82,0,1,0,0,0,0,0,0,0,0,train/1/1_300_900.tif
83,0,1,0,0,0,0,0,0,0,0,train/1/1_400_1000.tif
84,0,1,0,0,0,0,0,0,0,0,train/1/1_400_1100.tif
85,0,1,0,0,1,0,0,0,0,0,train/1/1_400_1200.tif
86,0,0,0,0,1,0,0,0,0,0,train/1/1_400_1300.tif
87,0,0,0,0,1,0,0,0,0,0,train/1/1_400_1400.tif
88,0,0,0,0,1,0,0,0,0,0,train/1/1_400_1500.tif
89,0,0,0,0,1,0,0,0,0,0,train/1/1_400_1600.tif
90,0,0,0,0,1,1,0,0,0,0,train/1/1_400_500.tif
91,0,0,0,0,1,1,0,0,0,0,train/1/1_400_600.tif
92,0,1,0,0,1,0,0,0,0,0,train/1/1_400_700.tif
93,0,1,0,0,0,0,0,0,0,0,train/1/1_400_800.tif
94,0,1,0,0,0,0,0,0,0,0,train/1/1_400_900.tif
95,0,1,0,0,0,0,0,0,0,0,train/1/1_500_1000.tif
96,0,1,0,0,0,0,0,0,0,0,train/1/1_500_1100.tif
97,0,1,0,0,1,0,0,0,0,0,train/1/1_500_1200.tif
98,0,0,0,0,1,0,0,0,0,0,train/1/1_500_1300.tif
99,0,0,0,0,1,0,0,0,0,0,train/1/1_500_1400.tif
100,0,0,0,0,1,0,0,0,0,0,train/1/1_500_1500.tif
101,0,0,0,0,1,0,0,0,0,0,train/1/1_500_1600.tif
102,0,0,0,0,1,0,0,0,0,0,train/1/1_500_1700.tif
103,0,0,0,0,1,0,0,0,0,0,train/1/1_500_500.tif
104,0,0,0,0,1,0,0,0,0,0,train/1/1_500_600.tif
105,0,1,0,0,1,0,0,0,0,0,train/1/1_500_700.tif
106,0,0,0,0,1,0,0,0,0,0,train/1/1_500_800.tif
107,0,1,0,0,1,0,0,0,0,0,train/1/1_500_900.tif
108,0,1,0,0,1,0,0,0,0,0,train/1/1_600_1000.tif
109,0,1,0,0,0,0,0,0,0,0,train/1/1_600_1100.tif
110,0,1,0,0,1,0,0,0,0,0,train/1/1_600_1200.tif
111,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1300.tif
112,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1400.tif
113,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1500.tif
114,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1600.tif
115,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1700.tif
116,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1800.tif
117,0,0,0,0,1,0,0,0,0,0,train/1/1_600_1900.tif
118,0,0,0,0,1,0,0,0,0,0,train/1/1_600_500.tif
119,0,0,0,0,1,0,0,0,0,0,train/1/1_600_600.tif
120,0,1,0,0,1,0,0,0,0,0,train/1/1_600_700.tif
121,0,0,0,0,1,0,0,0,0,0,train/1/1_600_800.tif
122,0,0,0,0,1,0,0,0,0,0,train/1/1_600_900.tif
123,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1000.tif
124,0,1,0,0,1,0,0,0,0,0,train/1/1_700_1100.tif
125,0,1,0,0,1,0,0,0,0,0,train/1/1_700_1200.tif
126,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1300.tif
127,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1400.tif
128,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1500.tif
129,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1600.tif
130,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1700.tif
131,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1800.tif
132,0,0,0,0,1,0,0,0,0,0,train/1/1_700_1900.tif
133,0,0,0,0,1,0,1,0,0,0,train/1/1_700_2000.tif
134,0,0,0,0,0,0,1,0,0,0,train/1/1_700_2100.tif
135,0,0,0,0,1,0,0,0,0,0,train/1/1_700_500.tif
136,0,0,0,0,1,0,0,0,0,0,train/1/1_700_600.tif
137,0,0,0,0,1,0,0,0,0,0,train/1/1_700_700.tif
138,0,1,0,0,1,0,0,0,0,0,train/1/1_700_800.tif
139,0,0,0,0,1,0,0,0,0,0,train/1/1_700_900.tif
140,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1000.tif
141,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1100.tif
142,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1200.tif
143,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1300.tif
144,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1400.tif
145,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1500.tif
146,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1600.tif
147,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1700.tif
148,0,0,0,0,1,0,0,0,0,0,train/1/1_800_1800.tif
149,0,0,0,0,1,0,1,0,0,0,train/1/1_800_1900.tif
150,0,0,0,0,1,0,1,0,0,0,train/1/1_800_2000.tif
151,0,0,0,0,1,0,0,0,0,0,train/1/1_800_2100.tif
152,0,0,0,0,1,0,0,0,0,0,train/1/1_800_2200.tif
153,0,0,0,0,1,0,0,0,0,0,train/1/1_800_500.tif
154,0,0,0,0,1,0,0,0,0,0,train/1/1_800_600.tif
155,0,0,0,0,1,0,0,0,0,0,train/1/1_800_700.tif
156,0,1,0,0,1,0,0,0,0,0,train/1/1_800_800.tif
157,0,0,0,0,1,0,0,0,0,0,train/1/1_800_900.tif
158,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1000.tif
159,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1100.tif
160,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1200.tif
161,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1300.tif
162,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1400.tif
163,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1500.tif
164,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1600.tif
165,0,0,0,0,1,0,0,0,0,0,train/1/1_900_1700.tif
166,0,0,0,0,1,0,1,0,0,0,train/1/1_900_1800.tif
167,0,0,0,0,1,0,1,0,0,0,train/1/1_900_1900.tif
168,0,0,0,0,1,0,1,0,0,0,train/1/1_900_2000.tif
169,0,0,0,0,1,0,0,0,0,0,train/1/1_900_2100.tif
170,0,0,0,0,1,0,0,0,0,0,train/1/1_900_2200.tif
171,0,0,0,0,1,0,0,0,0,0,train/1/1_900_2300.tif
172,0,0,0,0,1,0,0,0,0,0,train/1/1_900_500.tif
173,0,0,0,0,1,0,0,0,0,0,train/1/1_900_600.tif
174,0,0,0,0,1,0,0,0,0,0,train/1/1_900_700.tif
175,0,1,0,0,1,0,0,0,0,0,train/1/1_900_800.tif
176,0,1,0,0,1,0,0,0,0,0,train/1/1_900_900.tif
177,0,0,0,0,0,0,0,0,1,0,train/10/10_1600_3900.tif
178,0,0,1,0,0,0,0,0,1,0,train/10/10_1700_1900.tif
